1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:16397347-16397564	3	0	5	15	0	3	3
22:16398300-16398604	13	6	10	18	4	8	20
22:16402452-16402756	4	19	7	7	0	4	9
22:16403074-16403979	72	33	47	46	25	38	47
22:16409829-16410175	10	11	9	15	3	11	6
22:16414998-16415354	15	18	8	3	1	5	10
22:16419162-16419619	51	12	21	26	6	13	8
22:16420143-16420357	19	4	5	9	1	6	5
22:16420819-16421019	8	4	7	4	2	11	4
22:16423662-16424003	26	21	17	27	10	8	19
22:16425223-16425529	16	13	19	27	4	2	9
22:16429243-16429492	14	2	1	6	0	2	5
22:16440994-16441351	20	13	10	18	5	6	7
22:16443151-16443479	5	2	21	13	6	2	1
22:16445090-16445295	6	3	4	18	3	2	4
22:16447541-16447741	13	3	9	9	2	5	9
22:16455599-16455812	0	4	0	1	4	3	2
22:16456221-16457032	21	24	16	45	5	14	5
22:16463685-16464058	6	2	11	9	10	10	9
22:16464875-16465251	12	2	12	6	1	9	3
22:16468348-16468553	13	4	0	4	2	2	0
22:16474724-16474924	6	1	0	8	4	1	1
22:16476338-16476719	0	2	4	2	0	0	11
22:16484471-16484757	10	0	4	4	6	2	4
22:16486438-16486839	19	10	8	21	2	19	7
22:16490623-16491142	9	15	10	36	6	9	2
22:16493615-16493863	6	9	4	4	1	7	6
22:16501675-16501939	9	5	5	0	3	1	3
22:16503744-16504040	13	4	7	5	6	8	8
22:16510157-16510424	5	1	7	13	4	3	16
22:16510882-16511082	4	0	2	3	2	7	0
22:16513288-16513488	1	4	6	10	4	2	2
22:16517948-16518148	9	8	3	8	0	4	0
22:16520122-16520841	33	20	29	16	3	11	16
22:16520931-16521478	34	9	25	22	2	7	0
22:16527516-16528495	94	66	44	87	19	61	62
22:16528594-16528960	42	28	16	38	11	20	17
22:16529714-16530011	23	19	30	27	9	17	16
22:16530183-16530437	21	24	13	17	6	29	3
22:16532796-16533207	32	16	25	26	10	10	16
22:16537507-16537895	4	5	4	6	8	3	2
22:16543562-16544155	24	25	18	18	6	28	16
22:16545106-16545926	27	24	34	37	14	35	32
22:16551124-16551573	36	7	52	8	8	8	15
22:16551710-16552026	6	13	5	6	2	5	3
22:16557399-16557723	4	26	12	13	0	9	10
22:16559200-16559554	30	35	28	22	12	11	60
22:16563075-16563468	39	34	38	18	7	27	13
22:16563607-16563807	24	4	10	4	4	26	5
22:16564005-16564205	19	11	25	11	3	14	6
22:16564407-16564618	42	25	31	21	10	16	19
22:16566917-16567462	61	54	40	36	18	38	35
22:16567648-16568186	77	38	17	47	12	33	41
22:16575869-16576294	8	1	10	2	0	11	14
22:16580973-16581301	11	16	13	16	1	5	9
22:16582579-16582779	4	3	0	11	2	1	6
22:16586020-16586220	4	9	1	0	0	2	1
22:16586351-16586570	8	4	10	6	2	9	1
22:16591043-16591278	7	0	2	12	4	11	11
22:16591942-16592438	26	12	13	20	5	24	12
22:16592505-16592749	6	12	3	15	7	11	5
22:16601242-16602584	154	107	104	48	16	66	82
22:16602874-16603674	72	38	48	31	27	10	44
22:16603997-16604203	8	24	4	16	6	21	12
22:16609000-16609220	12	12	10	9	4	13	2
22:16609505-16610016	17	24	17	9	10	22	26
22:16610062-16610478	6	4	26	9	2	2	20
22:16614148-16614370	4	11	0	2	0	2	6
22:16615902-16616102	5	6	11	7	4	3	5
22:16619984-16620209	6	2	2	5	2	5	10
22:16620695-16620899	8	2	2	12	0	7	3
22:16623245-16623490	1	4	2	1	9	4	1
22:16629589-16629883	4	0	1	8	5	0	7
22:16630068-16630381	3	4	0	3	2	9	3
22:16632234-16632662	18	10	6	28	1	2	5
22:16639334-16639614	10	8	4	6	2	7	9
22:16648936-16649365	37	14	13	23	4	17	20
22:16651972-16652176	3	3	2	4	0	3	15
22:16670512-16670714	10	2	1	3	0	1	2
22:16673996-16674232	3	0	9	0	0	4	2
22:16675264-16675767	2	13	6	14	0	6	16
22:16689954-16690418	27	10	15	22	2	21	15
22:16692700-16692914	11	12	4	8	2	6	16
22:16693913-16694181	34	13	14	19	5	13	29
22:16697001-16697216	15	5	7	8	6	6	4
22:16697455-16697799	16	9	17	13	2	26	4
22:16704302-16704502	7	1	4	8	4	5	5
22:16704808-16705089	15	7	9	13	1	0	1
22:16712674-16712899	2	3	2	8	5	4	6
22:16717777-16717977	5	5	4	9	4	6	2
22:16718181-16718435	11	9	7	8	5	8	10
22:16722751-16722951	10	2	3	4	2	0	2
22:16724862-16725143	8	4	2	13	2	8	15
22:16734320-16734524	5	0	3	11	1	2	4
22:16743329-16743629	0	6	11	4	0	5	2
22:16747949-16748699	30	26	6	26	6	33	14
22:16748701-16748947	9	14	8	9	2	4	7
22:16749429-16749782	14	17	9	15	5	5	10
22:16749793-16750027	1	1	0	10	1	0	12
22:16752990-16753190	12	3	3	4	2	2	3
22:16760075-16760300	8	13	6	6	0	11	9
22:16766418-16766659	10	5	0	0	3	7	2
22:16774761-16775032	15	6	16	6	6	5	8
22:16779625-16779828	4	2	11	5	1	4	5
22:16780100-16780472	2	2	6	8	1	15	4
22:16781186-16781413	17	5	4	8	0	2	0
22:16786415-16786760	11	8	4	17	6	2	15
22:16790057-16790267	15	7	1	5	2	0	2
22:16798526-16799204	8	3	7	12	0	16	21
22:16801372-16801572	1	6	2	1	0	1	0
22:16804003-16804405	2	0	3	6	0	10	2
22:16804439-16804639	4	6	4	0	0	1	0
22:16805098-16805345	2	3	4	8	4	0	0
22:16808729-16808934	13	0	3	0	0	0	0
22:16809984-16810184	6	3	8	2	2	8	0
22:16810751-16811021	6	1	1	4	0	9	6
22:16811153-16811426	6	10	12	0	4	13	6
22:16812168-16812518	9	2	0	10	3	3	5
22:16818645-16818992	10	6	11	12	2	0	8
22:16819112-16819322	2	0	0	1	0	11	2
22:16824841-16825081	11	7	6	1	50	89	9
22:16825250-16825699	51	14	34	15	8	6	9
22:16827408-16827710	8	6	7	7	0	3	17
22:16832302-16832578	4	6	2	14	9	0	9
22:16833791-16834022	4	5	2	10	4	20	3
22:16839352-16839565	2	0	0	2	4	1	2
22:16844420-16844888	42	16	17	20	4	20	17
22:16844892-16845352	38	13	5	21	12	31	12
22:16845487-16846534	64	22	31	45	38	50	28
22:16851670-16851996	14	6	10	13	8	5	5
22:16857684-16858103	12	6	2	21	2	14	2
22:16859168-16859384	2	4	6	10	8	7	4
22:16860117-16860317	9	1	7	6	0	2	9
22:16861066-16861266	7	1	2	4	2	0	14
22:16865445-16865702	6	6	13	0	2	6	5
22:16869076-16869276	6	0	8	1	4	0	8
22:16869297-16869498	7	3	11	10	2	2	3
22:16869567-16869767	5	8	5	0	4	6	6
22:16870948-16871431	23	12	7	14	7	9	8
22:16876324-16876646	17	2	9	13	4	11	14
22:16877623-16877986	80	10	51	15	7	4	6
22:16878721-16879002	41	14	9	11	5	10	7
22:16879464-16879729	0	3	4	20	3	2	6
22:16883624-16883825	0	0	4	3	2	11	4
22:16892028-16892351	2	15	14	11	7	10	22
22:16898474-16898702	13	6	5	24	2	4	9
22:16901683-16902129	66	4	81	18	19	13	22
22:16904698-16904932	20	2	5	23	4	12	6
22:16905707-16905928	7	13	11	14	1	13	8
22:16906024-16906348	41	45	34	27	3	11	21
22:16910541-16910741	6	3	10	18	7	7	5
22:16911405-16911727	14	15	12	10	2	8	20
22:16915794-16916352	25	13	26	18	16	2	12
22:16917480-16917846	34	19	22	7	3	17	14
22:16921154-16921403	12	13	9	6	0	2	2
22:16921407-16921719	21	7	3	9	1	0	5
22:16922141-16922407	14	9	11	17	1	1	16
22:16923477-16923787	20	14	4	15	2	5	1
22:16926240-16926851	22	21	29	20	9	27	9
22:16933456-16933993	19	12	39	6	7	14	8
22:16937482-16937759	12	12	7	9	7	13	6
22:16939008-16939208	2	6	2	14	0	7	5
22:16944786-16944986	6	5	0	10	2	2	0
22:16949560-16950085	166	7	109	10	45	11	11
22:16950606-16950893	7	13	1	7	2	5	8
22:16955097-16955312	15	6	2	18	3	4	14
22:16963839-16964259	32	13	19	21	8	26	9
22:16969938-16970233	9	10	5	22	4	9	8
22:16970631-16970880	26	4	11	2	3	4	9
22:16975751-16975951	9	3	1	3	5	7	0
22:16976439-16976639	0	2	5	0	0	8	4
22:16982760-16982982	0	9	4	2	0	7	5
22:16986222-16986445	14	3	5	7	0	7	5
22:16988522-16988737	9	8	12	7	5	4	2
22:16989665-16990105	12	6	11	23	2	23	19
22:16994224-16994619	12	4	2	4	9	6	1
22:16995152-16995352	2	13	3	2	0	3	7
22:16995381-16995761	1	10	1	16	2	9	18
22:17001811-17002011	7	3	3	6	0	2	8
22:17002993-17003246	0	4	0	5	0	6	1
22:17007851-17008294	25	31	11	8	2	12	18
22:17009252-17009469	9	5	2	15	2	15	9
22:17009670-17010094	14	15	26	7	6	13	13
22:17015311-17015672	21	26	13	35	7	21	25
22:17015782-17015987	6	7	16	16	0	10	14
22:17018169-17018427	4	10	11	23	0	7	3
22:17018646-17018848	15	6	4	16	4	12	8
22:17018941-17019233	18	4	9	22	6	8	11
22:17021541-17021781	13	10	5	14	3	4	17
22:17024145-17024825	22	19	28	21	7	35	15
22:17032238-17032626	35	13	29	44	8	26	29
22:17034233-17034454	12	17	8	22	5	3	10
22:17036576-17037767	195	175	163	112	34	112	114
22:17046217-17046606	15	23	11	17	9	10	6
22:17048927-17049327	21	9	25	9	4	15	6
22:17049989-17050198	1	12	5	8	0	1	8
22:17056067-17056555	13	14	19	18	14	18	18
22:17057961-17058681	54	83	48	47	10	42	42
22:17067825-17068096	3	13	1	21	0	9	7
22:17075080-17076118	404	144	389	102	89	62	73
22:17084663-17085987	1098	1734	619	409	146	742	541
22:17086996-17087242	34	129	54	37	8	80	53
22:17087580-17088288	128	227	154	114	49	199	146
22:17097652-17097961	16	14	2	13	0	22	22
22:17098381-17099095	66	139	78	65	14	126	45
22:17103652-17104588	39	51	20	92	6	34	90
22:17106548-17107258	141	93	130	50	38	60	66
22:17112151-17112353	6	5	4	1	10	1	10
22:17113616-17113889	29	22	10	10	6	10	4
22:17117656-17117856	15	7	13	11	4	23	21
22:17118121-17118345	33	42	21	22	6	38	21
22:17119932-17121372	281	327	178	91	55	148	124
22:17121414-17121766	56	64	41	10	11	15	15
22:17129503-17129703	4	2	4	5	6	6	10
22:17130270-17130563	13	5	7	7	2	2	22
22:17131881-17132124	2	12	5	9	3	16	4
22:17135515-17135776	18	8	9	5	0	2	6
22:17137333-17137533	4	6	2	9	4	9	4
22:17140984-17141367	23	15	8	13	10	6	16
22:17145780-17145992	5	0	3	5	8	2	6
22:17147393-17147797	29	20	9	28	6	22	16
22:17148356-17148556	5	7	2	22	1	6	10
22:17158581-17160052	1195	1921	635	294	145	923	615
22:17160197-17160399	6	9	5	32	0	9	5
22:17171259-17172302	834	756	744	293	158	380	268
22:17179204-17179509	7	19	6	15	1	9	9
22:17180215-17180476	11	9	1	10	2	5	20
22:17181814-17182454	22	13	13	28	10	24	20
22:17189398-17189695	18	7	10	16	0	0	7
22:17191817-17192112	3	24	3	11	1	2	11
22:17194391-17194801	25	13	14	25	3	10	18
22:17198864-17199064	4	8	4	5	4	10	6
22:17199818-17200080	7	9	10	2	2	3	4
22:17205438-17206114	19	5	19	36	11	10	3
22:17214071-17214386	29	29	9	23	9	51	34
22:17217309-17217741	62	135	65	75	21	144	79
22:17218940-17219774	159	382	135	131	35	317	198
22:17221145-17221509	59	33	95	15	28	50	29
22:17228790-17229112	4	4	3	6	3	16	3
22:17236968-17237691	92	100	99	40	28	63	29
22:17243515-17244090	70	21	71	18	22	8	7
22:17246749-17246949	5	2	2	10	0	6	6
22:17249239-17249517	1	2	3	16	0	1	3
22:17250834-17251061	11	9	0	7	1	4	4
22:17257189-17257460	4	5	6	18	2	5	3
22:17257918-17259244	223	123	254	71	37	107	73
22:17266448-17267025	44	94	35	35	14	31	26
22:17267205-17267405	7	6	1	5	9	1	6
22:17268102-17268302	12	0	7	15	12	7	4
22:17269672-17270028	20	17	13	18	4	22	14
22:17280350-17281148	125	40	109	41	56	47	22
22:17281290-17282005	101	66	61	45	26	61	62
22:17286837-17287051	16	4	6	9	2	4	7
22:17288395-17288961	15	19	10	22	6	18	18
22:17290437-17290637	4	5	5	0	1	0	10
22:17298690-17298949	7	8	6	10	2	3	15
22:17299022-17299539	30	39	22	27	10	74	30
22:17303698-17304671	208	230	197	151	44	229	127
22:17309393-17309643	7	8	2	12	6	5	6
22:17310040-17310328	4	11	4	4	0	4	1
22:17319187-17319673	20	26	8	18	4	8	13
22:17319692-17319892	3	2	7	5	4	0	3
22:17321734-17321934	8	2	2	6	4	3	3
22:17328558-17328765	4	10	1	2	1	2	5
22:17329200-17329602	5	8	13	21	2	6	13
22:17332829-17333029	3	1	8	5	4	2	10
22:17337332-17337595	10	14	2	12	0	8	5
22:17340871-17341126	0	5	2	6	0	12	4
22:17342422-17342757	9	8	5	19	1	5	7
22:17347802-17348051	3	10	2	12	0	6	5
22:17348819-17349032	2	11	5	8	2	7	6
22:17349242-17349442	10	7	1	10	1	6	11
22:17367033-17367311	41	34	39	15	16	26	16
22:17368628-17370488	261	201	104	79	41	113	127
22:17376224-17376552	17	7	0	10	2	6	11
22:17379320-17379520	4	3	6	6	5	2	10
22:17379527-17379816	5	3	2	17	0	4	5
22:17384454-17384700	0	4	3	4	1	16	6
22:17392601-17392813	4	1	0	0	2	11	3
22:17393581-17393870	9	8	5	4	2	2	2
22:17394320-17394668	4	4	6	2	12	4	2
22:17397837-17398185	29	1	34	13	2	1	6
22:17398295-17398609	26	9	16	10	2	4	2
22:17398926-17399126	2	10	4	6	0	5	8
22:17400825-17401054	3	1	5	11	0	3	16
22:17402629-17402829	3	0	1	2	4	1	3
22:17418703-17418987	8	11	4	13	2	16	6
22:17419005-17419243	16	8	4	2	4	3	5
22:17423105-17423395	8	5	2	7	9	8	9
22:17425527-17425817	12	0	0	12	4	4	8
22:17430268-17430628	6	10	8	3	3	7	25
22:17432052-17432252	15	6	0	6	0	4	1
22:17432843-17433043	2	0	11	0	2	4	6
22:17436614-17436965	8	14	8	2	2	2	13
22:17444151-17444455	12	3	9	11	3	2	13
22:17445884-17446084	6	5	11	6	0	3	5
22:17460781-17460981	1	0	0	6	5	2	3
22:17463265-17463481	9	2	2	6	0	5	1
22:17476420-17476695	9	5	0	2	6	0	6
22:17483771-17484236	11	19	20	12	6	11	4
22:17489143-17489350	5	1	6	3	0	8	3
22:17492369-17492690	12	1	17	3	3	3	0
22:17493591-17493926	14	7	4	11	6	3	3
22:17497205-17497405	4	2	5	2	5	1	7
22:17499359-17499570	0	2	2	12	0	0	1
22:17501779-17502079	41	59	32	19	4	38	28
22:17503017-17503325	2	6	12	2	4	5	2
22:17508468-17508858	13	8	13	18	1	6	19
22:17528961-17529557	18	24	13	22	14	18	19
22:17532093-17532293	3	9	7	5	2	2	4
22:17536434-17536713	5	3	11	5	0	0	7
22:17538048-17538248	0	6	2	9	3	8	3
22:17538307-17538573	6	4	3	11	0	11	7
22:17539308-17539512	10	8	0	2	6	4	9
22:17542450-17542847	16	13	5	14	5	3	8
22:17548247-17548863	27	17	10	25	11	37	14
22:17549330-17549530	11	7	4	11	2	4	6
22:17562315-17562515	4	1	9	6	9	1	2
22:17564966-17565166	4	4	11	10	3	12	2
22:17566113-17566313	5	5	2	15	4	4	2
22:17569746-17569954	13	11	5	9	4	7	4
22:17570300-17570565	14	3	13	7	4	5	9
22:17571181-17571492	9	13	2	9	0	0	5
22:17573577-17573845	17	4	7	11	6	3	16
22:17576521-17576907	35	6	26	5	20	20	9
22:17580612-17581150	23	18	18	12	7	21	17
22:17581224-17581500	24	4	11	14	5	7	13
22:17581715-17581952	23	7	8	1	8	4	4
22:17587154-17587380	14	7	6	14	0	5	6
22:17589609-17589847	12	5	8	12	3	6	12
22:17590840-17591040	3	8	3	6	0	8	0
22:17595444-17595721	14	6	4	9	2	2	2
22:17597300-17597763	21	8	17	11	6	1	16
22:17603469-17603673	7	2	4	2	0	10	4
22:17607851-17608423	11	13	20	17	6	11	9
22:17616106-17616306	9	2	7	7	2	0	3
22:17621250-17621736	15	13	12	12	3	4	2
22:17628412-17629257	588	972	626	396	137	700	459
22:17638212-17639330	750	1240	639	341	159	590	442
22:17639567-17639767	24	33	40	23	8	21	28
22:17650849-17651173	1	2	2	12	2	0	13
22:17655204-17655415	6	1	0	3	0	9	5
22:17663899-17664126	0	8	0	1	0	5	3
22:17664375-17664694	2	9	0	16	8	6	3
22:17669806-17670013	8	3	0	6	0	2	11
22:17671535-17671735	5	6	0	0	0	7	4
22:17672705-17673586	298	6	300	8	91	3	4
22:17679048-17679248	4	3	8	2	1	1	2
22:17681953-17682154	4	2	6	0	0	2	9
22:17694306-17694545	13	0	3	6	5	4	2
22:17697502-17697879	1	8	0	6	0	6	11
22:17698118-17698318	4	2	5	4	3	2	1
22:17698449-17698670	1	0	1	1	7	4	4
22:17700051-17700363	10	2	3	3	0	9	1
22:17706164-17706977	303	55	316	15	111	24	37
22:17709696-17709903	1	3	1	11	3	0	10
22:17711508-17711735	8	2	0	1	1	11	2
22:17726785-17727277	22	29	4	31	6	24	26
22:17732418-17732694	11	8	16	8	10	1	5
22:17734255-17734639	45	23	67	15	11	16	13
22:17734890-17735117	0	4	3	0	0	0	15
22:17739466-17739666	13	8	4	18	2	6	12
22:17742294-17742989	104	86	75	70	19	69	41
22:17743937-17744208	12	24	9	14	5	16	8
22:17748692-17748989	21	18	5	24	2	5	9
22:17749846-17750115	10	21	2	21	7	5	7
22:17753491-17753748	4	4	9	11	3	15	2
22:17753914-17754169	6	15	4	6	0	16	17
22:17754314-17754686	30	31	28	10	6	30	31
22:17760527-17760906	25	6	14	10	7	9	16
22:17767404-17768594	390	287	473	136	114	272	191
22:17773763-17774806	361	517	250	155	49	251	188
22:17776155-17776374	15	59	17	20	2	50	29
22:17777175-17777864	231	287	191	126	42	152	140
22:17781459-17782126	346	183	352	70	69	63	71
22:17785306-17785740	65	92	85	59	24	57	54
22:17788175-17788428	15	28	9	15	5	2	10
22:17791043-17791453	16	13	2	13	12	23	7
22:17794149-17794415	3	13	5	12	11	4	7
22:17796830-17797138	12	9	7	24	2	10	6
22:17798327-17798576	12	17	8	6	0	6	4
22:17807924-17808154	16	4	6	5	3	8	9
22:17808229-17808463	15	6	4	14	7	8	12
22:17812208-17812500	13	3	6	28	4	4	15
22:17816731-17817156	29	7	14	14	7	25	10
22:17821625-17821831	20	7	5	9	4	14	8
22:17821891-17822236	8	16	4	10	2	10	27
22:17829833-17830738	127	177	102	102	35	106	100
22:17835853-17836053	4	13	2	4	4	2	10
22:17842034-17842971	62	122	66	77	38	58	68
22:17850327-17850527	3	2	2	2	4	14	2
22:17859193-17859544	16	12	0	24	8	12	11
22:17871871-17872071	17	5	12	3	3	15	5
22:17876574-17876774	12	18	0	13	2	3	2
22:17876779-17877739	86	73	25	101	25	49	39
22:17882395-17882595	7	3	5	0	0	4	13
22:17884199-17884399	6	1	0	9	2	16	4
22:17886058-17886300	7	5	1	7	3	16	3
22:17890247-17890565	18	18	5	8	3	6	3
22:17896638-17897155	15	15	12	21	10	9	13
22:17919571-17919794	0	17	10	3	3	9	8
22:17920227-17920464	11	21	10	22	2	11	5
22:17921967-17922253	15	4	2	12	2	5	2
22:17923625-17923825	2	0	1	13	0	10	3
22:17927632-17927961	7	11	2	10	3	14	4
22:17930840-17931306	8	16	8	7	10	17	4
22:17931652-17931975	9	5	10	19	2	2	7
22:17932250-17932607	10	0	1	21	0	3	4
22:17933312-17933561	6	2	13	0	3	0	0
22:17939181-17939460	4	3	5	12	2	13	5
22:17942640-17942940	9	19	5	16	0	15	9
22:17958562-17958762	4	7	8	5	1	2	3
22:17960811-17961210	23	27	6	13	6	9	10
22:17961647-17961937	7	4	1	12	2	15	8
22:17964969-17965170	3	16	3	2	0	0	8
22:17971591-17971791	5	5	1	5	2	0	15
22:17973029-17973229	2	5	4	9	4	14	7
22:17975127-17975366	17	4	10	3	2	5	4
22:17975486-17975686	8	2	2	6	10	4	0
22:17980646-17981183	114	119	94	52	16	73	27
22:17984185-17984431	12	17	32	8	2	6	5
22:17990356-17990615	19	7	10	5	4	4	2
22:17996573-17997081	246	301	338	114	41	222	77
22:18000529-18002139	628	472	398	144	94	167	108
22:18010519-18010719	0	1	0	0	2	3	12
22:18012383-18012843	32	13	6	6	6	7	13
22:18013640-18013853	6	5	1	8	0	9	2
22:18023668-18025073	374	366	241	144	66	202	116
22:18029321-18029549	5	6	12	11	2	7	12
22:18032333-18032625	2	14	2	2	0	6	6
22:18034649-18034884	13	6	5	4	0	2	2
22:18035671-18036080	14	4	8	21	1	11	4
22:18038801-18039008	15	3	2	2	2	4	2
22:18044058-18044269	4	10	0	12	3	5	5
22:18044436-18044661	3	10	6	2	0	2	7
22:18044696-18044896	12	4	2	1	2	4	4
22:18044938-18045943	37	31	5	38	14	21	19
22:18053724-18053924	6	12	4	5	0	10	6
22:18055419-18055619	11	3	5	5	8	0	0
22:18056133-18056333	5	12	12	10	2	4	10
22:18057738-18057980	17	22	7	5	4	8	2
22:18058855-18059055	8	11	11	5	1	6	7
22:18065335-18065768	17	16	22	13	6	12	11
22:18077549-18078369	934	1751	828	582	207	1096	712
22:18085349-18085575	6	9	6	16	0	7	7
22:18088878-18089155	20	12	12	11	4	7	18
22:18089298-18089537	26	24	20	10	1	1	11
22:18091626-18092633	122	157	128	68	20	71	54
22:18096835-18097319	198	6	143	10	63	3	4
22:18103771-18104344	183	5	247	10	48	5	7
22:18106072-18107288	478	32	989	52	149	34	32
22:18110204-18111559	214	141	165	72	49	86	75
22:18119748-18120209	24	8	8	17	8	12	18
22:18126789-18127095	4	10	5	5	4	15	9
22:18131402-18131705	5	15	5	18	0	3	11
22:18132898-18133098	6	7	0	10	2	4	13
22:18133105-18133534	14	1	9	28	0	3	12
22:18136837-18137251	6	3	3	24	6	6	3
22:18141037-18141425	16	10	2	8	8	5	7
22:18147880-18148227	12	14	13	20	4	26	18
22:18149621-18150370	207	383	107	87	21	125	98
22:18152683-18152916	48	58	17	13	11	14	24
22:18155226-18155584	12	8	7	25	5	6	23
22:18155806-18156021	17	6	3	7	0	13	7
22:18157151-18157631	85	51	34	13	10	22	18
22:18163848-18164240	15	13	11	24	6	8	11
22:18164639-18165122	14	10	5	22	10	11	5
22:18174686-18174886	3	4	12	7	2	0	1
22:18177744-18177965	11	11	12	19	10	10	10
22:18178187-18178409	3	16	13	18	4	8	5
22:18185114-18185322	5	0	2	7	2	14	7
22:18187024-18187251	2	7	1	8	10	3	5
22:18188827-18189039	10	0	6	3	2	3	6
22:18193522-18193722	7	4	9	12	0	8	12
22:18197271-18197488	6	7	22	17	4	3	6
22:18199207-18199407	3	1	9	4	1	9	5
22:18199706-18199964	3	8	29	7	4	8	0
22:18202582-18202864	33	14	66	50	15	17	33
22:18203384-18203634	7	3	13	4	0	9	11
22:18205383-18205890	36	45	149	160	6	24	29
22:18215165-18215440	16	7	22	2	9	8	4
22:18216425-18217161	64	41	78	45	36	50	33
22:18220132-18220364	6	14	16	10	0	8	15
22:18221292-18221499	12	6	16	11	2	3	6
22:18222004-18222523	8	4	18	42	6	10	15
22:18223537-18223737	0	0	2	7	0	9	4
22:18229072-18229272	0	0	6	2	0	0	8
22:18234301-18234507	6	6	7	15	1	16	5
22:18234683-18235118	9	8	29	20	3	27	22
22:18236770-18237149	24	18	51	47	6	30	30
22:18237610-18238182	14	14	19	26	6	21	25
22:18238285-18238511	2	10	43	33	0	3	8
22:18340112-18340312	5	4	10	11	0	4	7
22:18340551-18340762	13	3	9	14	6	0	8
22:18346091-18346363	10	8	24	16	6	10	7
22:18350996-18351218	13	1	20	13	8	2	5
22:18352521-18352750	5	12	2	7	2	0	6
22:18361462-18361899	18	22	15	25	13	15	22
22:18364461-18364758	4	2	13	22	12	16	3
22:18369609-18370074	4	4	12	41	10	13	13
22:18371652-18371877	2	3	2	17	0	13	6
22:18375739-18375990	4	3	16	27	2	9	9
22:18377982-18378352	11	2	5	20	9	9	5
22:18378413-18378660	3	18	8	25	0	12	5
22:18380859-18381097	7	6	16	7	0	5	4
22:18381295-18381495	8	4	9	20	1	5	0
22:18386638-18386849	15	14	46	28	4	11	21
22:18387371-18387742	43	35	73	55	10	19	44
22:18389397-18390171	52	40	43	39	8	45	10
22:18391146-18391346	1	3	3	5	1	12	2
22:18400456-18400902	4	6	10	10	4	6	14
22:18401017-18401217	4	0	6	3	2	6	3
22:18402323-18402547	0	0	2	14	1	4	5
22:18407447-18407709	4	6	7	15	0	3	1
22:18407776-18408238	47	16	29	21	9	18	11
22:18409268-18409494	3	2	10	0	1	11	4
22:18409556-18409854	12	7	6	5	1	12	2
22:18414927-18415145	8	2	5	12	0	12	4
22:18415188-18415631	3	10	16	25	4	21	7
22:18418863-18419578	49	23	220	180	18	44	31
22:18422031-18422284	25	28	79	47	12	20	40
22:18426575-18426775	7	0	9	15	3	3	9
22:18430599-18430964	12	16	7	24	2	9	6
22:18484122-18485017	29	25	25	65	6	59	35
22:18490092-18490345	8	2	5	7	0	4	9
22:18497416-18497633	9	6	16	8	2	4	8
22:18500649-18500929	4	5	8	19	1	4	4
22:18502212-18502414	2	0	1	14	4	2	2
22:18510344-18510610	17	4	13	18	1	7	5
22:18510915-18511115	0	2	4	8	0	13	3
22:18511732-18512046	10	5	29	23	7	8	8
22:18513318-18513526	2	4	1	20	5	6	3
22:18515549-18515768	2	12	9	5	14	7	5
22:18515964-18516289	15	26	18	19	5	17	10
22:18521286-18521668	1	8	2	5	2	12	14
22:18528035-18528305	92	94	36	29	13	64	47
22:18528328-18529949	765	1960	540	502	190	1299	660
22:18534689-18534919	6	10	2	11	8	10	17
22:18536968-18537346	7	8	8	13	3	21	20
22:18544016-18544216	1	5	0	4	3	9	6
22:18549104-18549375	10	15	4	15	7	2	5
22:18553381-18553725	1	18	2	9	3	6	16
22:18560223-18560965	195	199	165	64	56	177	136
22:18565976-18566304	6	6	5	11	8	9	12
22:18574520-18574989	86	188	54	73	12	79	81
22:18577275-18578199	199	409	91	80	20	153	162
22:18587572-18588237	20	8	10	1	10	16	14
22:18595033-18595637	57	66	33	25	18	56	26
22:18600577-18600788	7	1	1	6	0	2	0
22:18600851-18601357	18	10	5	21	14	13	0
22:18608611-18609037	12	16	2	46	13	23	11
22:18609619-18611488	495	579	350	188	83	313	191
22:18617447-18617665	5	8	2	0	0	0	2
22:18617798-18618006	1	0	2	7	0	8	1
22:18619761-18620002	9	5	9	4	10	7	5
22:18624480-18624936	4	16	1	6	2	15	11
22:18628263-18628514	12	2	4	3	0	1	3
22:18636614-18636817	11	4	1	11	2	2	0
22:18637166-18637382	5	10	8	18	8	7	6
22:18638713-18638931	8	9	4	20	1	5	8
22:18639136-18639376	4	11	6	13	0	22	6
22:18639914-18640221	4	16	9	10	4	17	18
22:18641402-18641702	6	2	23	0	4	8	3
22:18650193-18650511	3	3	20	3	2	9	6
22:18650892-18651092	1	1	0	5	5	1	6
22:18651193-18651429	4	5	10	8	5	4	1
22:18653043-18653463	0	1	20	12	0	10	2
22:18656810-18657065	0	2	2	2	3	11	3
22:18657161-18657801	16	20	21	14	13	9	16
22:18657971-18658389	8	6	5	17	0	1	2
22:18658781-18659457	14	19	30	17	6	27	18
22:18710366-18710914	19	17	26	21	1	15	12
22:18711486-18711695	4	0	6	4	1	13	3
22:18711778-18712133	25	22	19	2	6	25	9
22:18712699-18712899	0	1	5	13	2	3	8
22:18725695-18726071	6	6	18	36	8	7	13
22:18726123-18726634	7	16	17	48	12	11	25
22:18726864-18727064	11	8	4	12	0	6	4
