1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:11043197-11043617	39	47	31	46	20	39	47
22:11044013-11044258	35	19	44	55	18	26	38
22:11044433-11044789	44	29	49	73	20	39	54
22:11044898-11045143	21	15	21	21	26	37	45
22:11046069-11046579	91	55	89	83	18	38	76
22:11049269-11049479	55	27	38	51	11	32	34
22:11053859-11054350	93	54	67	93	29	105	77
22:11054614-11055532	213	117	146	168	58	112	123
22:11055945-11056370	57	59	87	63	33	44	53
22:11062621-11062983	58	43	61	64	8	29	48
22:11066197-11068038	366	215	330	401	96	164	229
22:11068085-11068531	49	55	55	65	17	28	40
22:11128442-11128821	11	8	4	4	2	2	8
22:11128861-11129061	3	6	4	6	4	5	0
22:11131226-11131602	12	3	7	0	0	15	2
22:11140920-11141274	12	5	13	0	9	9	3
22:11141552-11141883	9	8	10	13	13	8	4
22:11145462-11145665	5	2	10	16	2	4	5
22:11145928-11146237	2	2	15	2	2	4	1
22:11150215-11150838	13	11	14	28	0	12	8
22:11152011-11152215	0	4	5	4	2	8	3
22:11157273-11157491	3	2	11	10	1	4	2
22:11158137-11158339	4	8	0	2	2	1	2
22:11158456-11159356	45	30	28	22	14	34	13
22:11159977-11160185	14	0	3	6	2	3	1
22:11160645-11160850	1	4	4	11	2	4	3
22:11211825-11212051	10	16	23	39	8	34	55
22:11212792-11213398	131	97	148	288	52	150	279
22:11214213-11214746	82	52	69	141	15	89	166
22:11219645-11220013	8	1	2	1	1	10	0
22:11220019-11220219	1	0	0	1	2	0	0
22:11221315-11221519	8	0	0	4	0	0	0
22:11231269-11231509	6	9	2	2	3	0	0
22:11233764-11233964	3	10	1	3	0	2	1
22:11236113-11236332	6	5	18	6	0	0	7
22:11238343-11238543	2	2	2	1	4	1	2
22:11242256-11242456	7	0	1	3	0	1	2
22:11252962-11253805	88	44	33	56	4	16	17
22:11254060-11254260	13	8	19	10	9	6	9
22:11254535-11254746	24	3	3	6	7	5	6
22:11255487-11255687	12	9	15	11	8	13	5
22:11257791-11258035	31	16	10	12	8	4	9
22:11261567-11262095	29	33	35	51	23	34	18
22:11262408-11262646	10	8	3	10	0	17	6
22:11263778-11263978	18	17	6	12	2	17	14
22:11264872-11265086	50	30	10	16	7	4	22
22:11265942-11266142	26	17	19	20	10	9	14
22:11266573-11266923	56	59	82	35	20	19	60
22:11268663-11268870	23	24	29	14	8	10	18
22:11271790-11271990	20	17	14	22	5	11	8
22:11274461-11274689	24	11	21	11	6	3	11
22:11276766-11277787	89	38	63	74	26	42	50
22:11281869-11282262	22	10	26	39	2	13	11
22:11282509-11282762	23	12	31	12	6	6	8
22:11283043-11283389	25	19	15	20	12	12	20
22:11284801-11285541	75	57	71	71	17	34	40
22:11285665-11286020	50	31	31	24	6	13	24
22:11296268-11296479	17	10	8	14	7	4	10
22:11296581-11296790	11	6	12	15	2	2	13
22:11298265-11298771	59	24	25	47	26	23	26
22:11298821-11299132	32	7	17	20	4	8	15
22:11302953-11303366	31	17	31	27	6	18	35
22:11303415-11303615	10	7	11	15	2	15	12
22:11308086-11308744	68	39	56	30	17	19	27
22:11309799-11310261	38	26	34	54	16	28	30
22:11315595-11315795	23	8	8	14	3	5	9
22:11318906-11319131	9	14	10	23	1	5	17
22:11319440-11319646	28	10	12	21	0	5	6
22:11323026-11323357	36	32	24	16	8	10	17
22:11325669-11326289	41	17	50	30	7	15	39
22:11329188-11329396	9	12	2	9	2	5	8
22:11331221-11331424	8	3	10	9	3	3	16
22:11331711-11332253	33	25	16	29	9	18	37
22:11337359-11337800	30	12	18	27	2	14	24
22:11338165-11338685	14	8	18	27	7	14	38
22:11339563-11339763	5	5	12	9	2	6	0
22:11341517-11342357	62	41	25	77	23	24	40
22:11347211-11348470	96	69	83	115	54	62	81
22:11348621-11349220	50	19	33	50	13	24	47
22:11352710-11353091	65	25	38	48	11	24	32
22:11353164-11353364	7	8	15	12	7	4	6
22:11359667-11360127	55	40	27	44	15	17	39
22:11360801-11361477	54	38	41	37	18	45	28
22:11361533-11361733	16	12	18	20	5	6	10
22:11369019-11369219	25	5	12	7	3	9	6
22:11369767-11370167	58	31	34	22	7	22	15
22:11370392-11370753	42	15	20	21	0	6	15
22:11376083-11376398	7	2	11	6	5	2	11
22:11376627-11376878	7	2	5	16	2	2	5
22:11377359-11377590	4	3	12	14	2	4	3
22:11434776-11435006	21	2	8	4	4	2	0
22:11435376-11436018	43	10	18	6	8	9	10
22:11439395-11439595	5	5	2	0	4	3	10
22:11442114-11442316	0	1	1	2	5	0	0
22:11444218-11444423	0	0	0	8	0	1	0
22:11444987-11445187	2	1	2	4	0	8	0
22:11450120-11450320	11	3	4	0	0	6	4
22:11451024-11451236	2	0	0	2	4	0	2
22:11455086-11455420	3	2	2	2	4	18	13
22:11455629-11455829	1	7	0	3	0	5	4
22:11459102-11459336	8	11	4	0	3	14	2
22:11461133-11461346	9	5	2	12	0	0	1
22:11461985-11462513	22	9	6	23	2	14	8
22:11462798-11463185	11	0	2	8	9	11	8
22:11464127-11464328	1	0	4	0	0	3	11
22:11465669-11465869	4	2	2	0	1	8	6
22:11471212-11471506	9	1	3	0	3	12	10
22:11473748-11473966	4	2	2	6	0	1	4
22:11475919-11476176	2	0	2	0	0	4	15
22:11477774-11477975	6	3	3	3	0	3	1
22:11479790-11480018	2	0	1	0	0	12	0
22:11481082-11481455	3	4	1	2	2	7	12
22:11484074-11484274	9	2	2	2	0	3	0
22:11490020-11490220	9	0	2	0	2	2	3
22:11493064-11493264	3	6	0	4	0	0	1
22:11494927-11495127	2	0	0	0	0	0	9
22:11495911-11496127	3	1	2	8	0	0	2
22:11497190-11497405	3	5	0	0	0	4	3
22:11547444-11547965	32	19	14	19	6	19	26
22:11550091-11550423	29	24	21	39	11	22	32
22:11557610-11557811	17	20	3	11	0	18	6
22:11568881-11569302	47	20	18	48	3	27	21
22:11569314-11569951	49	39	42	60	22	50	45
22:11572387-11572837	63	22	29	37	20	29	18
22:11574198-11574503	50	19	30	32	4	23	28
22:11575530-11575968	66	36	15	55	14	23	47
22:11578553-11578948	37	21	25	24	6	26	43
22:11579137-11579356	31	16	10	34	5	18	27
22:11579895-11580156	4	13	15	22	17	3	15
22:11580478-11580718	35	10	13	12	7	18	15
22:11584294-11585018	89	62	58	82	18	30	68
22:11586927-11587172	7	8	3	5	1	13	9
22:11594642-11595033	37	14	32	47	8	15	16
22:11597338-11597619	40	15	24	34	4	8	7
22:11597795-11598277	18	30	41	38	4	15	23
22:11598646-11599123	54	18	25	41	17	42	30
22:11600276-11600829	41	39	29	58	12	36	24
22:11605515-11606888	165	72	95	97	28	79	68
22:11608684-11608894	12	10	5	15	4	20	21
22:11611385-11611604	12	18	11	11	7	22	10
22:11612050-11612319	62	37	41	46	13	20	38
22:11617589-11617815	32	15	16	16	8	14	16
22:11617931-11618134	12	15	13	10	4	8	6
22:11618236-11618883	47	57	41	42	13	20	50
22:11620643-11620853	13	9	9	24	5	20	11
22:11621189-11621574	24	18	35	29	10	16	15
22:11625741-11626061	48	28	24	34	3	4	28
22:11626508-11626720	19	6	9	14	8	24	9
22:11627515-11628113	76	43	51	52	18	27	36
22:11628186-11629210	137	50	106	80	44	77	73
22:11629326-11629591	32	15	26	32	4	23	8
22:11630589-11630814	7	5	6	12	32	52	4
22:11630894-11631296	20	29	27	35	10	36	27
22:11681364-11681564	6	3	4	8	7	5	2
22:11687824-11688024	7	14	5	7	2	2	10
22:11689004-11689219	10	5	6	29	0	6	11
22:11690658-11691228	41	26	30	56	15	34	30
22:11694609-11694809	14	5	25	18	11	13	19
22:11698120-11698325	40	20	38	39	26	35	33
22:11698636-11698944	44	37	41	49	6	25	33
22:11701393-11703298	459	282	365	434	169	322	286
22:11707136-11707501	56	38	39	27	6	17	36
22:11710954-11711565	40	46	19	39	23	20	28
22:11711822-11712028	13	7	9	12	4	5	22
22:11719381-11719581	14	4	5	7	0	6	5
22:11720505-11720712	13	13	4	10	9	11	8
22:11774757-11775181	2	8	10	0	0	2	8
22:11776081-11776281	8	4	4	8	0	2	2
22:11777575-11777841	0	6	1	11	0	0	3
22:11783183-11783975	16	16	29	29	8	19	32
22:11785904-11786125	9	15	14	4	4	7	6
22:11789841-11790115	26	9	13	14	9	5	11
22:11790534-11790763	15	10	4	12	5	10	7
22:11794113-11794482	30	22	7	10	2	6	2
22:11795068-11795272	6	0	4	9	7	5	12
22:11797987-11798289	23	9	3	5	2	7	6
22:11799931-11800131	0	5	1	4	0	10	3
22:11802533-11802733	6	4	11	4	4	0	2
22:11805973-11806203	2	2	3	15	0	0	7
22:11807363-11808478	53	25	26	12	14	33	29
22:11813639-11813862	48	35	41	51	14	36	41
22:11814069-11814353	51	45	46	46	49	36	56
22:11814380-11815152	234	166	174	185	107	152	164
22:11816498-11816853	68	42	45	62	32	76	48
22:11819769-11820425	164	107	124	102	62	97	89
22:11820973-11821246	69	65	50	77	25	52	45
22:11825927-11826296	13	8	10	26	5	28	13
22:11829019-11829364	39	30	27	26	9	15	14
22:11829401-11830112	83	56	53	34	28	28	60
22:11830198-11830398	10	5	3	1	1	13	2
22:11836193-11836393	4	2	5	6	0	7	17
22:11837879-11838550	20	16	17	39	7	19	29
22:11840507-11840735	17	9	8	7	0	11	6
22:11843582-11843787	7	11	2	9	2	12	5
22:11848584-11848821	2	9	7	10	0	4	15
22:11850396-11850757	3	11	12	29	2	8	11
22:11852519-11852850	15	19	9	22	6	15	6
22:11855569-11855960	5	6	26	13	9	8	16
22:11857692-11858207	9	20	18	33	8	14	23
22:11866108-11866308	10	4	2	3	5	3	1
22:11867518-11867725	5	9	11	8	1	7	7
22:11872202-11872450	11	0	4	4	2	0	5
22:11873471-11873703	0	0	0	0	0	9	0
22:11874325-11874594	20	1	0	3	2	3	6
22:11874860-11875119	3	9	0	0	2	1	0
22:11875544-11875801	12	7	6	6	6	5	8
22:11877861-11878070	3	4	11	7	6	4	3
22:11881658-11881890	5	2	1	9	0	5	12
22:11883777-11883977	12	3	2	2	0	4	2
22:11884193-11884431	14	0	6	2	4	0	6
22:11886681-11886965	14	0	2	10	0	2	4
22:11893834-11894158	13	3	25	3	4	1	3
22:11895599-11895799	8	3	5	6	6	8	3
22:11896949-11897402	20	15	4	8	2	8	11
22:11898804-11899037	8	1	8	4	2	2	3
22:11900622-11900833	15	2	4	8	2	6	8
22:11906086-11906350	11	0	4	6	4	16	8
22:11909710-11909910	6	8	8	5	0	9	14
22:11911914-11912740	51	45	34	36	15	28	38
22:11913377-11913845	33	16	11	32	10	30	22
22:11918415-11918623	15	8	3	5	7	6	18
22:11918805-11919015	9	9	4	3	2	23	6
22:11920021-11920271	5	2	2	2	13	12	6
22:11923877-11924077	10	7	3	0	10	11	5
22:11924218-11924937	62	74	28	39	16	43	22
22:11926546-11926901	49	27	6	23	0	13	12
22:11928297-11928641	18	19	3	20	6	14	14
22:11932123-11932578	44	18	12	23	16	20	46
22:11932641-11932905	34	16	12	3	8	21	7
22:11933743-11933989	36	11	4	6	2	15	3
22:11936212-11936448	20	21	14	13	6	19	13
22:11936975-11937262	36	12	8	20	8	29	6
22:11937607-11937807	11	10	7	16	4	11	8
22:11938152-11938486	25	15	11	24	3	28	15
22:11945776-11946009	7	4	0	4	2	11	2
22:11946098-11946298	5	0	0	1	6	0	2
22:11952801-11953001	22	16	7	15	8	13	9
22:11953680-11954439	81	55	30	25	11	56	26
22:11955406-11955606	8	6	11	3	5	5	10
22:11956844-11957058	5	6	0	3	12	8	2
22:11957732-11957936	18	8	12	7	4	9	10
22:11959584-11959830	10	2	0	0	3	16	7
22:11967902-11968113	14	5	7	2	0	2	7
22:11973752-11974594	197	242	84	57	38	80	120
22:11975273-11975489	8	13	12	15	4	10	19
22:12028172-12028472	2	8	9	9	0	5	9
22:12028558-12028790	5	4	1	11	0	9	5
22:12028944-12029276	20	3	6	25	0	3	13
22:12029441-12029813	9	0	11	22	9	6	6
22:12030062-12030409	4	12	5	12	2	3	10
22:12036966-12037671	30	25	34	26	8	34	60
22:12045722-12045928	9	0	0	3	0	0	18
22:12048178-12048378	6	1	12	10	2	3	17
22:12054922-12055177	20	5	3	5	3	5	19
22:12055531-12055731	16	5	7	7	2	6	9
